Watchlist 'NYSE',,,,
,,,,
NYSE,,,,
Symbol,Last,%Change,Bid,Ask
RRR,30.17,2.13%,28.37,31.5
IVC,9.1,2.13%,5.03,9.3
CRL,286.14,2.13%,275,287.5
SGA,20.68,2.12%,17.01,25
VTN,13,2.12%,12.61,13.29
SKY,44.25,2.10%,36.45,51.52
ERH,12.65,2.10%,12.35,13.12
CTG,8.32,2.09%,7.47,8.47
LAC,18.7,2.07%,18.36,18.4
PHR,61.25,2.07%,56.7,78.59
HZN,9.4,2.06%,8.7,10.29
IGI,21.29,2.06%,20.19,22.45
DIN,79.11,2.05%,79,79.35
FST,11.48,2.04%,11.26,11.3
HAS,93.71,2.04%,91.91,94
ETH,25.62,2.03%,23.98,25.95
MFA,4.02,2.03%,4,4.02
CVR,27.705,2.00%,0.0001,4294.67
IBP,109.36,1.99%,100.01,134.8
SBT,5.14,1.98%,4.21,7.13
HHR,34.79,1.96%,32.5,46.6
TBK,76.7,1.94%,61.05,81.88
FGB,3.69,1.93%,3.25,3.77
MD,24.43,1.92%,22,25.62
MC,51.64,1.91%,47.17,55
LYV,88.86,1.88%,88.89,89
MAV,11.53,1.86%,11.27,11.8
OSG,2.2,1.85%,2.05,2.2
VC,127.17,1.85%,102.82,136.05
WEN,20.43,1.84%,20.59,20.64
PTC,136.94,1.83%,136.55,137.94
GT,16.81,1.82%,16.81,16.88
OPK,4.5,1.81%,4.52,4.55
RNG,378.16,1.81%,370,390.51
PFD,17.54,1.80%,17.23,18.46
RCL,93.27,1.79%,93.28,93.6
COE,25.65,1.79%,25,26.07
NLS,18.41,1.77%,18.41,18.5
NSP,88.7,1.77%,70,117.51
UAL,52.68,1.74%,52.78,52.85
LGL,11.53,1.74%,10.2,12.36
EVA,53.03,1.73%,48,60.01
ELF,25.65,1.70%,25.6,26.1
FPI,11.96,1.70%,11.39,12.5
TRT,5.39,1.70%,5.06,5.99
MOV,22.8,1.69%,22.8,23.22
NXP,16.91,1.68%,16.72,17.65
MXL,39.77,1.66%,39.87,40.5
IAF,5.54,1.65%,5.05,5.53
EDF,8.67,1.64%,8.5,9
ERC,12.42,1.64%,12.19,12.96
PHD,11.18,1.64%,10.95,11.66
ORC,5.73,1.60%,5.74,5.75
CVA,14.05,1.59%,13.11,14.87
NRZ,10.28,1.58%,10.21,10.23
MUC,14.86,1.57%,14.51,15.08
MDB,385.93,1.56%,370,404
RFM,21.275,1.55%,21.1,21.54
LEA,166.09,1.53%,145,170
GAB,6.64,1.53%,6.55,6.67
WMS,110.02,1.51%,94.13,114.97
FLC,22.85,1.51%,22.82,23.86
ZEN,146.14,1.49%,145,153.49
KSS,55.25,1.49%,55.2,55.26
JLL,173.98,1.48%,110,173.5
EXP,125.38,1.47%,110,150
WHG,17.25,1.47%,13.29,19
STN,39.35,1.47%,32,45.65
JGH,15.22,1.47%,14.59,15.5
EVN,13.21,1.46%,13.1,13.62
GLW,38.24,1.46%,38.01,38.47
PLX,4.9,1.45%,4.88,4.9
GM,51.33,1.44%,51.27,51.29
LH,239.91,1.43%,227.1,242.5
CLA,13.52,1.43%,13.4,13.5
CNR,11.39,1.42%,10.99,13.25
NHS,12.21,1.41%,12.06,12.35
HST,16.59,1.41%,15.9,17.5
VMO,13.01,1.40%,12.73,13.14
ST,57.29,1.40%,55,58.87
UAA,21.89,1.39%,21.78,21.93
MHK,174.99,1.38%,157.34,221.79
DAR,63.04,1.38%,60,84
WHF,14.68,1.38%,13.5,14.85
DMB,13.95,1.38%,13.81,14.19
MFL,13.98,1.38%,13.75,14.41
FND,95.09,1.38%,85,101
RCB,25.85,1.37%,21.69,4294.67
MLP,11.82,1.37%,10.4,50
PAG,67.98,1.37%,62.57,76.2
CRF,12.62,1.37%,12.4,12.64
RNR,166.98,1.35%,145.31,201.55
KKR,45.56,1.33%,45.1,45.57
HYT,11.43,1.33%,11.28,11.8
DXC,25.22,1.33%,25.12,25.8
SHW,680.34,1.31%,668.35,720
UTF,25.49,1.31%,25.41,25.88
IVR,3.89,1.30%,3.89,3.9
OC,81.02,1.30%,80,82.8
MMT,6.24,1.30%,6.15,6.32
FUN,49.17,1.30%,47,49.5
UAN,25.88,1.29%,21,29
EH,46.33,1.29%,45.6,45.95
PZC,10.22,1.29%,9.98,10.61
SQ,230.03,1.29%,229.61,230
FSV,151.27,1.29%,123.76,173.18
VGI,11.95,1.27%,11.4,12.18
CHI,14.37,1.27%,14.22,14.42
CHY,15.21,1.26%,15.12,15.6
STK,29.68,1.26%,28.5,31.43
CpK,27.36,1.26%,24.95,27.31
MFD,8.86,1.26%,8.3,9.17
HGV,39.51,1.26%,38.5,39.6
DD,70.32,1.25%,69.52,71.24
CPA,91.67,1.24%,65.17,100
RWT,9.84,1.23%,9.7,10
GGZ,13.95,1.23%,13.43,15.2
PRS,26.45,1.22%,18.55,28.55
DSU,10.75,1.22%,10.65,10.78
PD,44.74,1.22%,41.85,44.7
MFM,6.64,1.22%,6.55,6.75
IRS,4.15,1.22%,3.87,4.26
CMD,74.28,1.21%,66.12,90.13
HD,258.34,1.21%,258.25,258.34
GBR,5.86,1.21%,5.71,6.12
LEO,8.4,1.20%,8.35,8.4
IPG,26.12,1.20%,25.8,26.3
EXD,10.14,1.20%,9.58,10.49
MEN,11.85,1.20%,11.73,12.09
NSL,5.51,1.19%,5.37,5.72
NWS,22.92,1.19%,22.6,24.77
NSS,22.93,1.19%,20.05,23.28
CIF,2.55,1.19%,2.54,2.67
NCA,10.21,1.19%,10.14,10.77
RE,241.81,1.19%,211,246
OVV,23.07,1.18%,23.07,25
FAX,4.31,1.17%,4.27,4.4
MYF,13.81,1.17%,13.68,14.3
YPF,4.33,1.17%,4.2,4.4
MHI,12.17,1.16%,12.12,12.5
MPV,12.18,1.16%,0.0001,4294.67
NEV,15.68,1.16%,15.37,15.84
TpA,25.31,1.16%,24.75,4294.67
WOW,14.05,1.15%,11.95,16.87
FB,257.62,1.15%,257.27,257.58
NAD,15,1.15%,14.69,15.26
SNX,89.16,1.15%,84.01,91
OEC,17.7,1.14%,14.75,20.4
NKX,15.13,1.14%,14.93,15.52
MYJ,14.25,1.14%,14.05,14.74
MGP,33.02,1.13%,32,34
SC,25,1.13%,14.32,27.5
SMP,42.01,1.13%,40.05,45.88
VPV,12.63,1.12%,12.5,12.94
MCI,13.55,1.12%,12.37,14.52
MCA,14.49,1.12%,14.33,15.02
SPE,14.63,1.11%,13.57,15.24
MQT,13.75,1.10%,13.55,14.09
JSD,13.8,1.10%,13.24,13.83
CLS,8.28,1.10%,8.09,8.26
WDC,68.53,1.09%,68.17,68.79
DTW,25.77,1.09%,23.49,26.2
FpC,25.97,1.09%,25.6,26.27
ZOM,1.87,1.08%,1.96,1.97
RC,13.12,1.08%,13.12,13.49
WBT,15.98,1.08%,12.97,17.74
CX,6.61,1.07%,6.59,6.61
WST,280.65,1.07%,134.25,295
VGM,13.23,1.07%,12.99,13.24
MMI,37.87,1.07%,33.52,45.99
VSH,23.87,1.06%,23,25
KIO,15.32,1.06%,14.9,15.8
IVH,13.44,1.05%,12.71,13.46
EPR,45.18,1.05%,43.9,45.6
STE,174.8,1.05%,147.56,202.94
SWT,108.2,1.05%,80.11,109.52
VLT,13.56,1.04%,12.91,14.1
WHR,190.08,1.04%,189.5,194.69
MYC,14.55,1.04%,14.43,15.13
DSM,7.79,1.04%,7.62,7.89
WWE,49.4,1.02%,49.29,49.44
GPI,152.44,1.02%,147.75,182
TXN,172.27,1.02%,170.51,172.27
LL,24.77,1.02%,24.8,25.5
UNH,332.22,1.02%,331.11,333
MG,7.96,1.02%,7.5,8.24
HTH,33.04,1.01%,11.89,34
SAR,23.08,1.01%,22.25,23.75
PMX,12.06,1.01%,11.81,12.12
CXE,5.06,1.00%,4.88,5.1
SNR,6.11,0.99%,5.5,6.11
FCT,12.22,0.99%,11.58,12.68
MPA,14.29,0.99%,14.08,14.88
PHT,9.19,0.99%,9.1,9.33
JRO,9.25,0.98%,9.15,9.56
HA,26.82,0.98%,26.78,27.5
DRI,137.33,0.98%,136.87,138.98
RFP,9.32,0.98%,5.95,12
JFR,9.34,0.97%,9.01,9.68
HNW,14.54,0.97%,13.99,14.54
HPS,16.69,0.97%,16.45,17.35
SFB,25.26,0.96%,24.88,4294.67
PMT,18.97,0.96%,18.8,19.5
WGO,69.6,0.96%,68.11,70.82
EHI,10.02,0.96%,9.9,10.42
H,87.95,0.95%,87.65,90
DLY,19.12,0.95%,19.01,19.25
NZF,15.96,0.95%,15.57,16.21
CLM,12.77,0.95%,12.72,12.8
HRB,19.23,0.94%,18.75,19.35
JQC,6.43,0.94%,6.37,6.44
CNS,64.38,0.94%,31.91,69.46
MHD,16.14,0.94%,15.59,4294.67
THW,17.32,0.93%,17,17.73
MHF,7.61,0.93%,7.56,8.01
RZB,27.47,0.92%,27,43.54
DAO,32.01,0.91%,31.2,32.6
GLV,11.05,0.91%,10.86,11.28
GSX,102.85,0.91%,102.5,103
IDN,12.17,0.91%,11.5,12.5
DLB,97.63,0.91%,93.14,100
NEA,14.5,0.90%,14.36,14.54
HZO,44.65,0.90%,43.32,47.1
MVT,14.52,0.90%,14.32,14.58
EFR,13.44,0.90%,12.95,14.04
NAC,14.57,0.90%,14.5,14.98
RVP,15.7,0.90%,15.25,16
RA,20.24,0.90%,20,20.49
DCF,9,0.90%,8.46,9.33
HGH,27.03,0.90%,26.22,28.25
NBY,1.13,0.89%,1.11,1.12
LPX,47.61,0.89%,47.61,49.99
DVN,21.54,0.89%,21.4,21.54
GHY,14.76,0.89%,14.22,14.99
NOW,533.46,0.88%,524,537.45
FSD,14.88,0.88%,14.7,15.1
NMY,13.79,0.88%,13.63,14.32
NR,3.46,0.87%,2.86,3.55
NGS,10.4,0.87%,9.51,12.41
PMF,13.88,0.87%,13.75,14.19
JPS,9.29,0.87%,9.21,9.45
UUU,6.97,0.87%,7,7.27
LEG,43.27,0.86%,42,43.53
STM,38.86,0.86%,38.6,39.15
TWI,8.27,0.85%,8.16,9.2
DPG,13.05,0.85%,12.82,13.74
PPT,4.75,0.85%,4.62,4.8
MIY,14.25,0.85%,14.24,14.87
PEB,22.66,0.85%,17.77,33.07
RMM,17.9,0.85%,17.5,17.95
MUJ,14.33,0.84%,14.17,14.65
IIM,15.55,0.84%,15.55,15.83
DGX,115.59,0.84%,114,116.5
GAN,25.54,0.83%,25.56,26.22
VTA,11,0.82%,10.8,11.08
PCM,11.01,0.82%,11,11.84
UMC,9.8,0.82%,9.74,9.75
HLX,4.9,0.82%,4.75,4.99
MQY,15.97,0.82%,15.85,16.8
JBL,43.17,0.82%,42.8,44
DSL,17.47,0.81%,17.2,17.47
LAD,373.95,0.80%,365,381
MMU,12.65,0.80%,12.47,12.98
COF,120.19,0.80%,119.58,120.25
MYI,13.96,0.79%,13.77,14.45
MVF,8.96,0.79%,8.9,9.05
EVM,11.58,0.78%,11.25,11.83
LOW,159.75,0.78%,159.85,159.89
MUA,14.34,0.77%,14.15,15
MXF,13.1,0.77%,12.55,15.05
URI,297.38,0.77%,291.35,299.3
HBP,3.98,0.76%,3.95,4.32
PMM,8.15,0.74%,8.15,8.37
NUS,51.18,0.73%,50.4,51.4
VVR,4.17,0.72%,4.02,4.28
PIM,4.19,0.72%,4.04,4.21
HE,34.96,0.72%,34.16,35.35
NFH,11.19,0.72%,11,11.3
GEF,48.3,0.71%,47.76,50.08
THO,117.06,0.71%,116.11,123.95
WK,101.15,0.70%,79.61,106
DX,18.82,0.70%,18.75,18.8
NIQ,14.53,0.69%,14.19,4294.67
CpJ,27.63,0.69%,27.35,28.66
ENS,90.28,0.69%,80.15,100
HPI,18.97,0.69%,18.8,19.59
TBC,26.28,0.69%,25.99,27.8
DMF,8.8,0.69%,8.53,9.02
GDL,8.83,0.68%,4.64,4294.67
NBW,13.3,0.68%,13,14.04
PCK,8.88,0.68%,8.75,8.99
MUH,14.84,0.68%,14.74,14.84
DAN,23.81,0.68%,22,24
NVG,16.37,0.68%,16.3,16.71
CMU,4.47,0.68%,4.36,4.47
MN,7.46,0.67%,6.15,7.99
NRK,13.44,0.67%,13.26,13.82
ZTR,8.98,0.67%,8.95,9.16
ELC,25.45,0.67%,25.23,25.45
PAI,15,0.67%,14.34,16.06
WD,99.66,0.67%,95.05,125.25
IT,179.04,0.66%,177.51,241.59
NBO,12.15,0.66%,11.87,4294.67
NPV,15.6,0.65%,15.27,16.38
EFC,15.72,0.64%,15.72,16
NMZ,14.17,0.64%,13.96,14.2
FCO,8.08,0.62%,8.07,8.35
VNE,27.48,0.62%,22.67,30
WMC,3.26,0.62%,3.2,3.25
VKI,11.49,0.61%,11.46,11.6
CRC,26.28,0.61%,16.52,27.37
EIM,13.15,0.61%,13.1,13.49
EAD,8.24,0.61%,8.17,8.5
PFH,24.74,0.61%,24.52,25.5
JCO,8.3,0.61%,8.1,8.58
UZD,25.2,0.60%,24.8,26.33
DTJ,25.33,0.60%,24,25.58
VNO,42.94,0.59%,42.95,44.59
GOF,20.81,0.58%,20.56,20.9
FpB,26.08,0.58%,14.74,28
MTG,12.18,0.58%,11.94,12.25
EFT,13.95,0.58%,13.3,13.98
WEA,13.96,0.58%,13.15,14.51
NNY,9.63,0.57%,9.6,10.03
SOR,41.838,0.57%,39.89,43.36
NXJ,14.09,0.57%,13.94,14.51
IEC,12.33,0.57%,11.9,16
DTB,24.69,0.57%,22.67,26.15
HLT,123.68,0.57%,123,124.47
NQP,14.15,0.57%,13.95,14.51
FOX,31.93,0.57%,31.32,32.73
GCV,6.24,0.56%,5.8,6.52
MCN,7.16,0.56%,7.15,7.5
SSY,1.8,0.56%,1.8,1.85
MTD,1116.05,0.55%,946.39,1301.79
UA,18.2,0.55%,18,18.2
IRM,34.79,0.55%,34.61,34.78
MAS,53.22,0.55%,53,53.9
JD,93.87,0.55%,93.9,93.92
PYN,9.25,0.54%,8.82,9.51
FOF,13.11,0.54%,12.52,13.74
MIN,3.77,0.53%,3.77,3.81
NCV,5.68,0.53%,5.46,5.9
RIV,17.07,0.53%,16.47,18.11
VIE,53.2,0.53%,53.03,53.2
LLY,204.89,0.52%,205,205.24
STX,73.23,0.52%,72.86,73.67
ISD,15.43,0.52%,14.92,15.96
MSP,23.28,0.52%,23,23.4
XRX,25.48,0.51%,25,25.7
SKT,15.74,0.51%,15.21,15.7
PCQ,17.78,0.51%,17.13,18.75
DFP,28.695,0.51%,27.65,30.77
ENX,11.96,0.50%,11.7,12.35
FN,88.33,0.50%,65,99
TT,153.24,0.50%,142,188
KMX,119.51,0.50%,118.5,120.3
NMT,14.27,0.49%,14.07,15.02
ECF,14.39,0.49%,14,14.25
ETY,12.34,0.49%,11.92,12.63
PGP,10.4,0.48%,10.26,10.48
HPE,14.56,0.48%,14.5,14.69
PCF,8.34,0.48%,8.01,8.8
HOG,35.67,0.48%,35.01,36.2
GAZ,16.2925,0.46%,15.88,62.62
HLG,59.625,0.46%,55,59.8
MTN,309.18,0.46%,150,325.35
HIE,8.77,0.46%,8.21,9.33
TYL,463.42,0.46%,376.16,532.09
MSB,26.51,0.45%,26,29.06
EVF,6.65,0.45%,6.3,6.91
MGR,26.67,0.45%,26.22,4294.67
IGA,8.92,0.45%,8.65,9.1
IPA,13.44,0.45%,13.21,13.79
HLF,44.98,0.45%,43.4,45.7
OM,49.79,0.44%,46.21,50.9
KTF,11.34,0.44%,11.28,11.55
UBX,6.81,0.44%,6.55,6.8
DLA,27.26,0.44%,26.85,30
NID,13.83,0.44%,13.79,14.35
MHN,13.87,0.43%,13.64,14.24
NEX,4.65,0.43%,4.27,5
FIV,9.3,0.43%,9.2,9.34
MYD,14.1,0.43%,14.06,14.44
NPO,80.34,0.43%,76.16,85.56
TV,7.41,0.41%,7.36,7.86
PFO,12.43,0.40%,12.1,13.51
VIH,14.97,0.40%,14.71,14.99
NCZ,5.01,0.40%,4.92,5.21
GLP,20.17,0.40%,19.05,20.9
TVC,25.31,0.40%,25.11,26
PFN,10.19,0.39%,10.08,10.27
FRA,12.84,0.39%,12.28,13.39
OIA,7.8,0.39%,7.7,8.07
LCY,10.42,0.39%,10.14,10.6
MUS,13.05,0.38%,12.95,13.31
SV,10.59,0.38%,10.57,10.65
HPF,18.55,0.38%,18,19.26
IRL,10.64,0.38%,10.57,10.73
PCI,21.55,0.37%,21.31,21.55
MCR,8.49,0.35%,8.48,8.89
EMP,25.61,0.35%,23.44,27.44
FMN,14.27,0.35%,13.93,14.74
JWS,14.32,0.35%,13.8,15.97
NHF,11.51,0.35%,11.02,11.69
SCM,11.64,0.34%,10.79,11.8
PFL,11.65,0.34%,11.41,12.24
FRG,35.08,0.34%,24.3,37.85
HYB,8.79,0.34%,8.47,8.9
IAA,58.63,0.34%,28.4,63.5
JCI,55.79,0.34%,55.36,56.36
WFG,68.31,0.34%,55.4,75
RBC,136.67,0.34%,107.1,159.88
MLM,336.87,0.34%,324.43,355
MIK,15,0.33%,14.85,15.45
GDS,102.16,0.33%,98.95,108
PSF,27.05,0.33%,25.54,28.28
SP,33.15,0.33%,22.88,34
XVZ,40.0816,0.33%,39.2,51.32
IQI,12.64,0.32%,12.47,13
RSF,17.4,0.32%,17.34,17.69
ESQ,22.32,0.31%,19.45,30.99
DE,349.12,0.31%,349.12,349.99
CXH,9.68,0.31%,9.5,10.04
RXT,21.02,0.31%,20.6,20.99
LFT,3.27,0.31%,3.26,3.39
EVG,13.08,0.31%,12.91,13.8
CFB,13.35,0.30%,11.27,15.5
MUE,13.36,0.30%,12.99,13.63
FMY,13.52,0.30%,13.24,14.09
HIX,6.8,0.29%,6.75,6.89
UMH,17.07,0.29%,16.7,17.29
SM,13.86,0.29%,13.88,14
NAN,13.92,0.29%,13.85,14.23
DUC,10.46,0.29%,10.07,10.89
IQ,25.33,0.28%,24.61,25.32
TDJ,25.37,0.28%,25.22,4294.67
IGR,7.3,0.27%,7,7.55
ETB,14.81,0.27%,14.72,15.41
NIU,37.38,0.27%,36.01,36.5
DLR,134.73,0.27%,134.5,141.99
CI,209.9,0.27%,208.29,215.09
NUO,15.14,0.26%,14.96,15.72
FMX,68.5,0.26%,68.5,69.95
KNX,43.2,0.26%,42.3,45
EFF,15.78,0.25%,15.18,15.8
PNF,12,0.25%,11.57,12.28
NIE,28.2,0.25%,27.46,29.32
GRX,12.09,0.25%,11.54,12.63
NKG,12.57,0.24%,12.42,12.65
FRX,12.67,0.24%,13.09,13.14
RMI,21.19,0.24%,21.06,21.44
HTD,21.25,0.24%,20.75,22.78
VKQ,12.82,0.23%,12.64,12.95
CEV,13,0.23%,12.92,13.61
CpN,26.85,0.22%,26.69,27
JPC,9.07,0.22%,9.04,9.41
NEP,72.64,0.22%,72.1,72.64
SBI,9.1,0.22%,8.96,9.52
EAT,68.59,0.22%,67.5,75
FPF,23.05,0.22%,22.87,23.82
PPR,4.63,0.22%,4.5,4.8
NEO,50.97,0.22%,50.5,52.75
IAE,9.27,0.22%,9.22,10.09
LEU,23.49,0.21%,22,24.55
OAS,56.86,0.21%,55.02,57.5
NVR,4500.84,0.21%,4367.47,4497
FSK,19.19,0.21%,18.55,19.45
DL,9.67,0.21%,9.63,10.8
TpC,24.27,0.21%,22.22,25.15
UPS,157.83,0.20%,157.8,158.29
HQH,24.96,0.20%,24.43,25.64
GHL,15.09,0.20%,14.5,15.1
JLS,20.28,0.20%,19.51,21.62
SNY,45.89,0.20%,45.69,46.58
FOR,21.29,0.19%,18.6,24.5
DHR,219.67,0.19%,219.26,226.9
IVZ,22.42,0.18%,22.3,23
LNN,160.25,0.17%,135.08,186.88
NTB,36.49,0.16%,33.4,38.1
DG,188.99,0.16%,187.27,190.91
MFV,6.12,0.16%,5.77,6.44
PHK,6.26,0.16%,6.24,6.26
EVR,119.77,0.16%,115,120.4
EAI,25.31,0.16%,0.0001,4294.67
RCA,25.74,0.16%,24.56,32.81
PKO,25.87,0.15%,25.02,27
SLP,71.72,0.15%,67.94,87.5
SAL,40.81,0.15%,0.02,41.75
SE,235.69,0.14%,236.25,237.38
MOD,13.87,0.14%,10.35,14.2
CUB,69.45,0.14%,69.32,69.89
MTT,20.96,0.14%,20.58,21.73
MUI,14.82,0.14%,14.62,15.2
SWK,174.84,0.13%,163.17,176.78
SI,127.56,0.13%,122,129.9
IQV,192.79,0.12%,170,224.29
LDP,24.83,0.12%,23.93,26.45
UFI,24.93,0.12%,20.38,27
PTA,24.98,0.12%,23.6,31.88
CIB,33.45,0.12%,32,34.95
WDR,25.09,0.12%,14.84,25.28
TDI,25.1,0.12%,24.85,26.55
UZB,25.23,0.12%,25.08,25.3
FBC,43.39,0.12%,42.91,45.89
MGF,4.43,0.11%,4.41,4.48
FDX,254.5,0.11%,254.5,254.99
ITT,82.98,0.11%,65.04,96.86
JHB,9.32,0.11%,9.3,9.4
LDI,19.41,0.10%,19.41,19.75
GGM,20.13,0.10%,19.68,20.45
NIM,10.24,0.10%,10.17,10.91
EQD,10.41,0.10%,10.33,10.51
PKI,126.09,0.10%,123.6,130
NBA,10.1796,0.09%,10.11,12.2
NUV,10.94,0.09%,10.92,11.1
PNI,11.11,0.09%,10.79,11.43
